A	a
afgańskie	a v . g aa j_ . s c j e
afgańskiego	a v . g a j_ . s c j ee . g o
afgańskim	a v . g aa j_ . s c i m
afrykanskie	a . f r y . k aa w_ . s c j e
Agata	a . g aa . t a
Agaty	a . g aa . t y
agenci	a . g ee ni . tsi i
Agencja	a . g ee n ts . j a
agencji	a . g ee n . ts i
agencję	a . g ee n ts . j e
Agent	aa . g e n d
Agent	aa . g e n t
agentem	a . g ee n . t e m
agentów	a . g ee n . t u f
agentów	a . g ee n . t u v
Agnieszka	a . g ni ee Sz . k a
Agnieszki	a . g ni ee Sz . c i
agresji	a . g r ee . s i
agresywna	a . g r e . s yy v . n a
agresywne	a . g r e . s yy v . n e
agresywnego	a . g r e . s y v . n ee . g o
agresywnymi	a . g r e . s y v . n yy . m i
Ahmed	aa x . m e d
Ahmed	aa x . m e t
Akadem	a . k aa . d e m
Akademiach	a . k a . d ee m . j a x
akademicki	a . k a . d e . m ii . ts c i
akademickiego	a . k a . d e . m i . ts c j ee . g o
akademickiej	a . k a . d e . m ii . ts c j e j
akademickim	a . k a . d e . m ii . ts c i m
akcie	aa . k tsi e
akcja	aa . k ts j a
akcjami	a . k ts j aa . m i
akcje	aa . k ts j e
akcji	aa . k ts i
akcjom	aa . k ts j o m
akcję	aa . k ts j e
akcyjną	a . k ts yy j . n o w_
akcyza	a . k ts yy . z a
akcyzy	a . k ts yy . z y
akt	aa g d
akt	aa k t
akta	aa . k t a
aktach	aa . k t a x
aktor	aa . k t o r
aktora	a . k t oo . r a
aktorem	a . k t oo . r e m
aktorka	a . k t oo r . k a
aktorskiego	a . k t o r . s c j ee . g o
aktorzy	a . k t oo . rZ y
aktu	aa . k t u
aktualizacja	a . k t u . a . l i . z aa . ts j a
Aktualne	a . k t u . aa l . n e
aktualnie	a . k t u . aa l . ni e
aktualnych	a . k t u . aa l . n y x
aktywizować	a . k t y . v i . z oo . v a dzi
aktywizować	a . k t y . v i . z oo . v a tsi
aktywnością	a . k t y v . n oo si . tsi o w_
aktywność	a . k t yy v . n o si tsi
aktywność	a . k t yy v . n o zi dzi
aktywny	a . k t yy v . n y
aktywnymi	a . k t y v . n yy . m i
aktżywności	a . g d rZ y v . n oo si . tsi i
akurat	a . k uu . r a d
akurat	a . k uu . r a t
Akwinu	a . k f ii . n u
akwizytorzy	a . k f i . z y . t oo . rZ y
al	aa l
alarmowego	a . l a r . m o . v ee . g o
alarmowych	a . l a r . m oo . v y x
alarmuje	a . l a r . m uu . j e
Albert	aa l . b e r d
Albert	aa l . b e r t
Alberta	a l . b ee r . t a
Albertowi	a l . b e r . t oo . v i
albo	aa l . b o
ale	aa . l e
Aleksander	a . l e . k s aa n . d e r
Aleksandr	a . l ee . k s a n d r
Aleksandr	a . l ee . k s a n t r
Aleksandra	a . l e . k s aa n . d r a
Aleksandrą	a . l e . k s aa n . d r o w_
alfonsi	a l . f oo w_ . si i
alfonsów	a l . f oo w_ . s u f
alfonsów	a l . f oo w_ . s u v
algach	aa l . g a x
alibi	a . l ii . b i
Alicja	a . l ii . ts j a
alkohol	a l . k oo . x o l
alkoholika	a l . k o . x o . l ii . k a
alkoholu	a l . k o . x oo . l u
All	oo l
alternatywne	a l . t e r . n a . t yy v . n e
alternatywą	a l . t e r . n a . t yy . v o w_
aluzjami	a . l u z . j aa . m i
amatorom	a . m a . t oo . r o m
amatorskich	a . m a . t oo r . s c i x
Ambasada	a m . b a . s aa . d a
ambasador	a m . b a . s aa . d o r
ambasadora	a m . b a . s a . d oo . r a
ambasadorami	a m . b a . s a . d o . r aa . m i
ambasady	a m . b a . s aa . d y
ambicję	a m . b ii . ts j e
American	a . m e . r ii . ts a n
Ameryka	a . m e . r yy . k a
Amerykanie	a . m e . r y . k aa . ni e
amerykanska	a . m e . r y . k aa w_ . s k a
amerykanski	a . m e . r y . k aa w_ . s c i
amerykanskich	a . m e . r y . k aa w_ . s c i x
amerykanskiego	a . m e . r y . k a w_ . s c j ee . g o
amerykanskiej	a . m e . r y . k aa w_ . s c j e j
amerykanską	a . m e . r y . k aa w_ . s k o w_
Amerykanów	a . m e . r y . k aa . n u f
Amerykanów	a . m e . r y . k aa . n u v
amerykańska	a . m e . r y . k aa j_ . s k a
amerykański	a . m e . r y . k aa j_ . s c i
amerykańskich	a . m e . r y . k aa j_ . s c i x
Amerykańskie	a . m e . r y . k aa j_ . s c j e
amerykańską	a . m e . r y . k aa j_ . s k o w_
amfetaminy	a w_ . f e . t a . m ii . n y
amputacji	a m . p u . t aa . ts i
Amsterdamie	a m . s t e r . d aa m . j e
analitycznych	a . n a . l i . t yy . tSz n y x
analityk	a . n a . l ii . t y g
analityk	a . n a . l ii . t y k
Analiz	a . n aa . l i s
Analiz	a . n aa . l i z
analize	a . n a . l ii . z e
analizie	a . n a . l ii . zi e
analizować	a . n a . l i . z oo . v a dzi
analizować	a . n a . l i . z oo . v a tsi
Analizowałem	a . n a . l i . z o . v aa . w e m
analizuje	a . n a . l i . z uu . j e
Analizując	a . n a . l i . z uu . j o n dz
Analizując	a . n a . l i . z uu . j o n ts
analizy	a . n a . l ii . z y
anarch	aa . n a r x
Anders	aa n . d e r s
Anders	aa n . d e r z
Andre	aa n . d r e
Andrychowie	a n . d r y . x oo v . j e
andrychowskiej	a n . d r y . x oo f s . c j e j
Andrychów	a n . d r yy . x u f
Andrychów	a n . d r yy . x u v
Andrzej	aa n . d rZ e j
Andrzeja	a n . d rZ ee . j a
Andrzejem	a n . d rZ ee . j e m
Andrzeju	a n . d rZ ee . j u
anegdota	a . n e g . d oo . t a
Anete	a . n ee . t e
Anety	a . n ee . t y
angauje	a N_ . g aa w . j e
angaują	a N_ . g aa w . j o w_
Angela	a N_ . g ee . l a
Angeles	a N_ . g ee . l e s
Angeles	a N_ . g ee . l e z
angielskiej	a N_ . gi j ee l . s c j e j
angielskojęzyczne	a N_ . gi j e l . s k o . j e w_ . z yy . tSz n e
Angl	aa N_ g l
Angl	aa N_ k l
Ani	aa . ni i
Anioł	aa . ni o w
ankietowanych	a N_ . c j e . t o . v aa . n y x
ankiety	a N_ . c j ee . t y
Anna	aa . n n a
Annie	aa . ni ni e
Anny	aa . n n y
anonimowość	a . n o . ni i . m oo . v o si tsi
anonimowość	a . n o . ni i . m oo . v o zi dzi
antarktycznego	a n . t a r . k t y . tSz n ee . g o
antarktyczny	a n . t a r . k t yy . tSz n y
Antarktydy	a n . t a r . k t yy . d y
Antoni	a n . t oo . ni i
Antoniego	a n . t o . ni ee . g o
antybiotyk	a n . t y . b j oo . t y g
antybiotyk	a n . t y . b j oo . t y k
antybiotyków	a n . t y . b j o . t yy . k u f
antybiotyków	a n . t y . b j o . t yy . k u v
antydepresantem	a n . t y . d e . p r e . s aa n . t e m
antykomunistycznych	a n . t y . k o . m u . ni i s . t yy . tSz n y x
Antykorupcyjne	a n . t y . k o . r u . p ts yy j . n e
Antykorupcyjnym	a n . t y . k o . r u . p ts yy j . n y m
Antynagrode	a n . t y . n a . g r oo . d e
Antyrak	a n . t yy . r a g
Antyrak	a n . t yy . r a k
antyrakietowej	a n . t y . r a . c j e . t oo . v e j
Antyrakowy	a n . t y . r a . k oo . v y
antyreligijnych	a n . t y . r e . l i . gi ii j . n y x
aparatczyków	a . p a . r a . t tSz yy . k u f
aparatczyków	a . p a . r a . t tSz yy . k u v
aparatu	a . p a . r aa . t u
Apartamenty	a . p a r . t a . m ee n . t y
apartamentów	a . p a r . t a . m ee n . t u f
apartamentów	a . p a r . t a . m ee n . t u v
apel	aa . p e l
apelacji	a . p e . l aa . ts i
apelację	a . p e . l aa . ts j e
Apelacyjna	a . p e . l a . ts yy j . n a
Apelacyjny	a . p e . l a . ts yy j . n y
apele	a . p ee . l e
apelem	a . p ee . l e m
apelować	a . p e . l oo . v a dzi
apelować	a . p e . l oo . v a tsi
apelowałam	a . p e . l o . v aa . w a m
apeluje	a . p e . l uu . j e
apetytu	a . p e . t yy . t u
apolityczności	a . p o . l i . t y . tSz n oo si . tsi i
Apophis	a . p oo . p x i s
Apophis	a . p oo . p x i z
Apostolska	a . p o s . t oo l . s k a
aptekach	a . p t ee . k a x
aptekarz	a . p t ee . k a rZ
aptekarz	a . p t ee . k a Sz
apteki	a . p t ee . c i
Arabski	a . r aa . p s c i
Arabskiego	a . r a p s . c j ee . g o
Arcany	a r . ts aa . n y
Arcara	a r . ts aa . r a
archaiczną	a r . x a . ii . tSz n o w_
Architektonicznej	a r . x i . t e . k t o . ni ii . tSz n e j
architektoniczny	a r . x i . t e . k t o . ni ii . tSz n y
arcybiskup	a r . ts y . b ii s . k u b
arcybiskup	a r . ts y . b ii s . k u p
arcybiskupa	a r . ts y . b i s . k uu . p a
arcyciekawej	a r . ts y . tsi e . k aa . v e j
arenie	a . r ee . ni e
areszcie	a . r ee Sz . tsi e
aresztowania	a . r e Sz . t o . v aa . ni a
aresztowanie	a . r e Sz . t o . v aa . ni e
aresztowano	a . r e Sz . t o . v aa . n o
aresztowany	a . r e Sz . t o . v aa . n y
aresztowała	a . r e Sz . t o . v aa . w a
aresztu	a . r ee Sz . t u
argument	a r . g uu . m e n d
argument	a r . g uu . m e n t
argumentacją	a r . g u . m e n . t aa . ts j o w_
argumentem	a r . g u . m ee n . t e m
argumentując	a r . g u . m e n . t uu . j o n dz
argumentując	a r . g u . m e n . t uu . j o n ts
argumenty	a r . g u . m ee n . t y
Arizonie	a . r i . z oo . ni e
Arkadiusz	a r . k aa d . j u rZ
Arkadiusz	a r . k aa d . j u Sz
arm	aa r m
armada	a r . m aa . d a
Armed	aa r . m e d
Armed	aa r . m e t
Armen	aa r . m e n
Armengol	a r . m ee N_ . g o l
arogancji	a . r o . g aa n . ts i
art	aa r d
art	aa r t
artował	a r . t oo . v a w
Artura	a r . t uu . r a
Artykuł	a r . t yy . k u w
artykułem	a r . t y . k uu . w e m
artykułowania	a r . t y . k u . w o . v aa . ni a
artykułu	a r . t y . k uu . w u
artykułuje	a r . t y . k u . w uu . j e
artysta	a r . t yy s . t a
Artystyczna	a r . t y s . t yy . tSz n a
artystyczne	a r . t y s . t yy . tSz n e
Artystycznie	a r . t y s . t yy . tSz ni e
artystycznych	a r . t y s . t yy . tSz n y x
artystów	a r . t yy s . t u f
artystów	a r . t yy s . t u v
asertżywności	a . s e r . d rZ y v . n oo si . tsi i
Assościated	a . s s o si . tsi aa . t e d
Assościated	a . s s o si . tsi aa . t e t
Assościation	a . s s o si . tsi aa . t j o n
asteroida	a s . t e . r o . ii . d a
astmę	aa s t . m e
astrofizyk	a s . t r o . f ii . z y g
astrofizyk	a s . t r o . f ii . z y k
asymetrią	a . s y . m ee . t r j o w_
asystenta	a . s y s . t ee n . t a
asystentów	a . s y s . t ee n . t u f
asystentów	a . s y s . t ee n . t u v
atak	aa . t a g
atak	aa . t a k
atakowani	a . t a . k o . v aa . ni i
atakowanych	a . t a . k o . v aa . n y x
atakować	a . t a . k oo . v a dzi
atakować	a . t a . k oo . v a tsi
ataku	a . t aa . k u
atakują	a . t a . k uu . j o w_
Aten	aa . t e n
Atlantycki	a . t l a n . t yy . ts c i
atlantyckich	a . t l a n . t yy . ts c i x
atmosfera	a . t m o . s f ee . r a
Atmosfery	a . t m o . s f ee . r y
atmosferze	a . t m o . s f ee . rZ e
atmosferę	a . t m o . s f ee . r e
atomową	a . t o . m oo . v o w_
atomy	a . t oo . m y
atomów	a . t oo . m u f
atomów	a . t oo . m u v
atrakcyjne	a . t r a . k ts yy j . n e
atrakcyjności	a . t r a . k ts y j . n oo si . tsi i
atrakcyjność	a . t r a . k ts yy j . n o si tsi
atrakcyjność	a . t r a . k ts yy j . n o zi dzi
atrapami	a . t r a . p aa . m i
audycje	a w . d yy . ts j e
audycji	a w . d yy . ts i
Augustyn	a w . g uu s . t y n
Auschwitz	aa w . s x f i d s
Auschwitz	aa w . s x f i d z
Aushwitz	aa w . s x f i d s
Aushwitz	aa w . s x f i d z
Austr	aa w s t r
Austr	aa w z d r
Austral	aa w . s t r a l
Australian	a w . s t r aa l . j a n
Australijski	a w . s t r a . l ii j . s c i
australijskiemu	a w . s t r a . l i j . s c j ee . m u
aut	aa w d
aut	aa w t
auta	aa w . t a
autem	aa w . t e m
auto	aa w . t o
autobiograf	a w . t o . b j oo . g r a f
autobiograf	a w . t o . b j oo . g r a v
autobus	a w . t oo . b u s
autobus	a w . t oo . b u z
Autonomicznego	a w . t o . n o . m i . tSz n ee . g o
autoportretów	a w . t o . p o r . t r ee . t u f
autoportretów	a w . t o . p o r . t r ee . t u v
autor	aa w . t o r
Autorami	a w . t o . r aa . m i
autorce	a w . t oo r . ts e
autorem	a w . t oo . r e m
autorka	a w . t oo r . k a
autorkę	a w . t oo r . k e
autorstwa	a w . t oo r . s t f a
autorytarne	a w . t o . r y . t aa r . n e
autorytarnym	a w . t o . r y . t aa r . n y m
autorytet	a w . t o . r yy . t e d
autorytet	a w . t o . r yy . t e t
Autorzy	a w . t oo . rZ y
awangardzie	a . v a N_ . g aa r . dzi e
awanse	a . v aa w_ . s e
awansował	a . v a w_ . s oo . v a w
awantury	a . v a n . t uu . r y
awar	aa . v a r
awaryjne	a . v a . r yy j . n e
awicz	aa . v i drZ
awicz	aa . v i tSz
Awicze	a . v ii . tSz e
awiczenia	a . v i . tSz ee . ni a
ałował	a . w oo . v a w
aż	aa rZ
aż	aa Sz
baa	b aa . a
babci	b aa . p tsi i
Baconschim	b a . k oo w_ . s x i m
bada	b aa . d a
Badacze	b a . d aa . tSz e
Badaj	b aa . d a j
badają	b a . d aa . j o w_
badająca	b a . d a . j oo n . ts a
badającej	b a . d a . j oo n . ts e j
badan	b aa . d a n
badane	b a . d aa . n e
badania	b a . d aa . ni a
badaniach	b a . d aa . ni a x
badaniami	b a . d a . ni aa . m i
Badanie	b a . d aa . ni e
badaniem	b a . d aa . ni e m
badaniu	b a . d aa . ni u
badanych	b a . d aa . n y x
badawcze	b a . d aa f . tSz e
badawczej	b a . d aa f . tSz e j
badawczych	b a . d aa f . tSz y x
Badań	b aa . d a ni
bagażu	b a . g aa . rZ u
Bagiński	b a . gi ii j_ . s c i
Bajram	b aa j . r a m
bakterie	b a . k t ee r . j e
bakterię	b a . k t ee r . j e
balast	b aa . l a s t
balast	b aa . l a z d
balastu	b a . l aa s . t u
banany	b a . n aa . n y
bandyty	b a n . d yy . t y
bani	b aa . ni i
Banki	b aa N_ . c i
bankierzy	b a N_ . c j ee . rZ y
bankowego	b a N_ . k o . v ee . g o
bankowym	b a N_ . k oo . v y m
bankructwa	b a N_ . k r uu . ts t f a
Banku	b aa N_ . k u
Barackiem	b a . r aa . ts c j e m
Barbara	b a r . b aa . r a
bardziej	b aa r . dzi e j
bardzo	b aa r . dz o
barier	b aa r . j e r
bariere	b a r . j ee . r e
bariery	b a r . j ee . r y
Barroso	b a . r r oo . s o
Bartosia	b a r . t oo . si a
Bartosz	b aa r . t o rZ
Bartosz	b aa r . t o Sz
Bartoszewskiego	b a r . t o . Sz e f s . c j ee . g o
Barwnym	b aa r . v n y m
barwy	b aa r . v y
bastionie	b a s . t j oo . ni e
Bastrykin	b a s . t r yy . c i n
Batorego	b a . t o . r ee . g o
Bauchi	b aa w . x i
bawarski	b a . v aa r . s c i
bawi	b aa . v i
bawia	b aa v . j a
bawią	b aa v . j o w_
Bay	b aa j
bazar	b aa . z a r
bazarem	b a . z aa . r e m
bazaru	b a . z aa . r u
bazie	b aa . zi e
bać	b aa dzi
bać	b aa tsi
bała	b aa . w a
bałaganu	b a . w a . g aa . n u
bałbym	b aa w . b y m
bałem	b aa . w e m
bałkańskich	b a w . k aa j_ . s c i x
Bałtyckim	b a w . t yy . ts c i m
Bałtyku	b a w . t yy . k u
bałwan	b aa w . v a n
BdV	v
bede	b ee . d e
bedzie	b ee . dzi e
Bedziemy	b e . dzi ee . m y
bedziesz	b ee . dzi e rZ
bedziesz	b ee . dzi e Sz
Bedzin	b ee . dzi i n
Bedzina	b e . dzi ii . n a
Bedzinie	b e . dzi ii . ni e
bedzinska	b e . dzi ii w_ . s k a
bedzinskich	b e . dzi ii w_ . s c i x
bedzinskiej	b e . dzi ii w_ . s c j e j
bedzinskim	b e . dzi ii w_ . s c i m
bedą	b ee . d o w_
bedąc	b ee . d o n dz
bedąc	b ee . d o n ts
Bejrucie	b e j . r uu . tsi e
Belg	b ee l g
Belg	b ee l k
belgijskiej	b e l . gi ii j . s c j e j
Beliveau	b e . l aa j . v a w
Belle	b ee . l l e
Bemowa	b e . m oo . v a
Benedykt	b e . n ee . d y g d
Benedykt	b e . n ee . d y k t
Benedykta	b e . n e . d yy . k t a
benzyne	b e w_ . z yy . n e
benzynowych	b e w_ . z y . n oo . v y x
benzyną	b e w_ . z yy . n o w_
Berlin	b ee r . l i n
Berlina	b e r . l ii . n a
Berlinie	b e r . l ii . ni e
Berlinowi	b e r . l i . n oo . v i
berlińskiego	b e r . l i j_ . s c j ee . g o
Berlusconi	b e r . l u s . ts oo . ni i
Berlusconich	b e r . l u s . ts oo . ni i x
Berlusconiego	b e r . l u s . ts o . ni ee . g o
Besson	b ee . s s o n
bestialsko	b e s . t j aa l . s k o
bestsellerem	b e s . t s e . l l ee . r e m
betonowych	b e . t o . n oo . v y x
betonuje	b e . t o . n uu . j e
bez	b ee s
bez	b ee z
bezbarwnych	b e z . b aa r . v n y x
bezbarwną	b e z . b aa r . v n o w_
bezbronnych	b e z . b r oo . n n y x
bezczelnie	b e s . tSz ee l . ni e
bezduszną	b e z . d uu Sz . n o w_
Bezimiennych	b e . z i m . j ee . n n y x
bezkarna	b e s . k aa r . n a
bezkarności	b e s . k a r . n oo si . tsi i
bezkolizyjny	b e s . k o . l i . z yy j . n y
bezlitosne	b e . z l i . t oo s . n e
bezmylnej	b e z . m yy l . n e j
beznadziejnym	b e z . n a . dzi ee j . n y m
bezpieczenstwa	b e . s p j e . tSz ee w_ . s t f a
bezpieczenstwo	b e . s p j e . tSz ee w_ . s t f o
bezpieczeństwa	b e . s p j e . tSz ee j_ . s t f a
bezpieczeństwie	b e . s p j e . tSz ee j_ . s t f j e
bezpieczeństwo	b e . s p j e . tSz ee j_ . s t f o
bezpieczna	b e . s p j ee . tSz n a
bezpiecznej	b e . s p j ee . tSz n e j
bezpiecznie	b e . s p j ee . tSz ni e
bezpieczny	b e . s p j ee . tSz n y
bezpiecznych	b e . s p j ee . tSz n y x
bezporednio	b e s . p o . r ee . d ni o
bezpośredniego	b e s . p o . si r e . d ni ee . g o
bezpośredniej	b e s . p o . si r ee . d ni e j
bezpośrednio	b e s . p o . si r ee . d ni o
bezprogramowości	b e . s p r o . g r a . m o . v oo si . tsi i
bezpłatne	b e s . p w aa . t n e
bezpłatny	b e s . p w aa . t n y
bezpłatnych	b e s . p w aa . t n y x
bezpłatnym	b e s . p w aa . t n y m
bezradna	b e . z r aa . d n a
bezrobotni	b e . z r o . b oo . t ni i
bezrobotny	b e . z r o . b oo . t n y
bezrobościu	b e . z r o . b oo si . tsi u
bezsennoa	b e . s s e . n n oo . a
bezsensowne	b e . s s e w_ . s oo v . n e
bezsilna	b e . s si ii l . n a
bezskutecznie	b e s . s k u . t ee . tSz ni e
bezterminowo	b e s . t e r . m i . n oo . v o
beztroskich	b e s . t r oo s . c i x
bezwizowy	b e . z v i . z oo . v y
bezwizowym	b e . z v i . z oo . v y m
bezwzględną	b e z . v z g l ee n . d n o w_
bezzasadny	b e . z z a . s aa . d n y
bezzwrotne	b e z . z v r oo . t n e
bezzwłoczne	b e z . z v w oo . tSz n e
Białej	b j aa . w e j
białek	b j aa . w e g
białek	b j aa . w e k
białka	b j aa w . k a
białkiem	b j aa w . c j e m
białkowej	b j a w . k oo . v e j
biało	b j aa . w o
Białorusi	b j a . w o . r uu . si i
Białorusinów	b j a . w o . r u . si ii . n u f
Białorusinów	b j a . w o . r u . si ii . n u v
białoruskich	b j a . w o . r uu s . c i x
białoruskiego	b j a . w o . r u s . c j ee . g o
Białoruś	b j a . w oo . r u si
Białoruś	b j a . w oo . r u zi
białym	b j aa . w y m
biedniejszym	b j e . d ni ee j . Sz y m
biedy	b j ee . d y
Bieg	b j ee g
Bieg	b j ee k
biegające	b j e . g a . j oo n . ts e
biegli	b j ee . g l i
biegnie	b j ee . g ni e
biegowi	b j e . g oo . v i
biegunie	b j e . g uu . ni e
biegłego	b j e . g w ee . g o
Biegły	b j ee . g w y
biegłym	b j ee . g w y m
Bieleckiego	b j e . l e . ts c j ee . g o
Bieleckim	b j e . l ee . ts c i m
bielizne	b j e . l ii z . n e
Bielsku	b j ee l . s k u
biernością	b j e r . n oo si . tsi o w_
bierze	b j ee . rZ e
Bierzemy	b j e . rZ ee . m y
bieżącej	b j e . rZ oo n . ts e j
bieżąco	b j e . rZ oo n . ts o
bieżącą	b j e . rZ oo n . ts o w_
bije	b ii . j e
biją	b ii . j o w_
bijąc	b ii . j o n dz
bijąc	b ii . j o n ts
bijących	b i . j oo n . ts y x
bilans	b ii . l a w_ s
bilans	b ii . l a w_ z
bilet	b ii . l e d
bilet	b ii . l e t
bin	b ii n
Bioboo	b j o . b oo . o
biodrowych	b j o . d r oo . v y x
Biolog	b j oo . l o g
Biolog	b j oo . l o k
biologicznych	b j o . l o . gi ii . tSz n y x
biologów	b j o . l oo . g u f
biologów	b j o . l oo . g u v
biorą	b j oo . r o w_
Biorąc	b j oo . r o n dz
Biorąc	b j oo . r o n ts
biorącymi	b j o . r o n . ts yy . m i
biorę	b j oo . r e
Birkenau	b i r . k e . n aa . u
biskup	b ii s . k u b
biskup	b ii s . k u p
biskupów	b i s . k uu . p u f
biskupów	b i s . k uu . p u v
Bismarck	b ii s . m a r dz g
Bismarck	b ii s . m a r ts k
Bismarcka	b i s . m aa r . ts k a
bitew	b ii . t e f
bitew	b ii . t e v
biura	b j uu . r a
Biuro	b j uu . r o
biurokratyczne	b j u . r o . k r a . t yy . tSz n e
Biurze	b j uu . rZ e
biznesmen	b i z . n ee s . m e n
biznesmena	b i z . n e s . m ee . n a
biznesmenów	b i z . n e s . m ee . n u f
biznesmenów	b i z . n e s . m ee . n u v
biznesową	b i z . n e . s oo . v o w_
Biznesu	b i z . n ee . s u
bizneswoman	b i z . n e . s w uu . m e n
bił	b ii w
Blachere	b l a . x ee . r e
black	b l aa dz g
black	b l aa ts k
Blackburn	b l aa tSz . g b u r n
Blair	b l aa . i r
Blaira	b l a . ii . r a
bliscy	b l ii s . ts y
bliska	b l ii s . k a
bliskich	b l ii s . c i x
bliskiego	b l i s . c j ee . g o
bliskimi	b l i s . c ii . m i
blisko	b l ii s . k o
bliźniaczkami	b l i zi . ni a . tSz k aa . m i
bliżej	b l ii . rZ e j
bloga	b l oo . g a
Blogu	b l oo . g u
Blokada	b l o . k aa . d a
blokady	b l o . k aa . d y
bloku	b l oo . k u
blokuje	b l o . k uu . j e
bloków	b l oo . k u f
bloków	b l oo . k u v
BnaiBrith	b n a . ii . b r i d x
BnaiBrith	b n a . ii . b r i t x
bo	b o
Bocem	b oo . ts e m
Boga	b oo . g a
bogate	b o . g aa . t e
bogatym	b o . g aa . t y m
bogatą	b o . g aa . t o w_
Bogdan	b oo g . d a n
Bogdana	b o g . d aa . n a
Bogiem	b oo . gi j e m
Bogusław	b o . g uu . s w a f
Bogusław	b o . g uu . s w a v
Bogusława	b o . g u . s w aa . v a
Bohater	b o . x aa . t e r
bohatera	b o . x a . t ee . r a
bohaterowie	b o . x a . t e . r oo v . j e
bohaterów	b o . x a . t ee . r u f
bohaterów	b o . x a . t ee . r u v
Bohlen	b oo . x l e n
boi	b oo . i
boje	b oo . j e
boju	b oo . j u
boją	b oo . j o w_
Boko	b oo . k o
bolało	b o . l aa . w o
bolenie	b o . l ee . ni e
bolesne	b o . l ee s . n e
boli	b oo . l i
Bolivar	b o . l ii . v a r
bombowiec	b o m . b oo v . j e dz
bombowiec	b o m . b oo v . j e ts
bomby	b oo m . b y
Boni	b oo . ni i
bonica	b o . ni ii . ts a
Bordeaux	b o r . d ee . a w k s
Borkowski	b o r . k oo . f s c i
Borowiak	b o . r oo v . j a g
Borowiak	b o . r oo v . j a k
Borusewicz	b o . r u . s ee . v i drZ
Borusewicz	b o . r u . s ee . v i tSz
Borys	b oo . r y s
Borys	b oo . r y z
Borzymowi	b o . rZ y . m oo . v i
boskie	b oo s . c j e
boskiej	b oo s . c j e j
bowiem	b oo v . j e m
br	b r
br	p r
bracie	b r aa . tsi e
Brady	b r aa . d y
Brak	b r aa g
Brak	b r aa k
brakiem	b r aa . c j e m
braku	b r aa . k u
brakuje	b r a . k uu . j e
brali	b r aa . l i
bramie	b r aa m . j e
bramkach	b r aa m . k a x
brany	b r aa . n y
branż	b r aa w_ rZ
branż	b r aa w_ Sz
Brat	b r aa d
Brat	b r aa t
brata	b r aa . t a
bratem	b r aa . t e m
Brazylię	b r a . z yy l . j e
brała	b r aa . w a
brałem	b r aa . w e m
briefingu	b r i . f ii N_ . g u
brode	b r oo . d e
Broker	b r oo . k e r
Brokera	b r o . k ee . r a
broni	b r oo . ni i
bronia	b r oo . ni a
Bronisław	b r o . ni ii . s w a f
Bronisław	b r o . ni ii . s w a v
Bronisława	b r o . ni i . s w aa . v a
bronić	b r oo . ni i dzi
bronić	b r oo . ni i tsi
broń	b r oo ni
brudu	b r uu . d u
Bruksela	b r u . k s ee . l a
Brukseli	b r u . k s ee . l i
brutali	b r u . t aa . l i
brutalnie	b r u . t aa l . ni e
brutalnych	b r u . t aa l . n y x
Brutto	b r uu . t t o
